category,name,description,price,image,isAvailable,subcategoryIds
STARTERS,Gumbo,"Seafood Gumbo (Shrimp, Crawfish & Sausage)",6.59,https://atlas-s3-proxy.revelup.com/product/conroe/a0c1aa8f0b17506f67e0235b5e0e4ff7ba7f28fef838ee756c18d8c797776da2918d8c1c216e17cc490670af8094971aad6658a8d35e043bd62a04fc0d2a6645.png,True,496
STARTERS,Shrimp Etouffee,,6.59,https://atlas-s3-proxy.revelup.com/product/conroe/1e23f6dd6085d69057f5b57866e44681926e46cebbf053d8142c2d7d3e01d6223e482cbdb257d9f57a724aa8fd8160ade16ba7b598b8facc2e8c32269b4abf71.png,True,496
STARTERS,Bang Bang Shrimp,,9.99,https://atlas-s3-proxy.revelup.com/product/conroe/b60848ee62f1f6864bd62df2c6f8bb063f0a69ebb3bb1c60f17334351c76f414799effef9c6fb888a174db31597c403307cf5bfd3a7b0a502acc7a66f0268caa.png,True,496
STARTERS,Fried Green Tomatoes,,8.99,https://atlas-s3-proxy.revelup.com/product/conroe/168ef30ffd130385ca18955f986210f2384d46834a3f12ab842c6529d87681fd3d42c07c98bfdb2f69ff25b380beb102cf8972b81446f45fee9b8c5736ad1167.png,True,496
STARTERS,Loaded Fried Green Tomatoes,,10.99,https://atlas-s3-proxy.revelup.com/product/conroe/dce00962c5cf8946f821824b6726441fcaef58067db16e328f536a0f3160399cb2fb42092dc13f28dd83186a896e15c8bfd3e1b8a5f9248f4a0f6b5ccf846ef4.png,True,496
STARTERS,Fried Pickles,,7.99,https://atlas-s3-proxy.revelup.com/product/conroe/bc5be069d938349a367b9fc25b241a34c0866ddc9d0565dd8d662bdc0fa731e585ca03d19aca8026296d0165b85d97f09fa4171ca339cc58a2cfcb7a4f9a4ef4.png,True,496
STARTERS,Gator App,,15.99,https://atlas-s3-proxy.revelup.com/product/conroe/659af86f3b189e9dfdf3701ea9ad90afc7693b08f42e59bbc73a303230d416365483d996b15e48e1aae673b63368b65eaf0aa840eab7c35e7d76979918f893cc.png,True,496
STARTERS,Boudin Balls (6),,7.99,https://atlas-s3-proxy.revelup.com/product/conroe/4f7d4a006031c9cbfb6f2bf21f364c15b239127496554f2a47b683938e41f2eee87a58312e80611b5e80c96fc29f179c34fbc8de2052fb6113296f043460d676.png,True,496
STARTERS,Swamp Fries/Tots,"Your choice of Catch Fries or Tots loaded with Monterrey Jack Cheese, Queso, Diced Tomato, Green Onion, Bacon Bits and Sour Cream.",8.99,https://atlas-s3-proxy.revelup.com/product/conroe/23b3321f5805f3b9d9809ba66f505acb72f41ee258944b35034a4f0a13721d12761d1309143b82cdc652552e5899d070ad92b6075edccd101f19522095d55a15.png,True,496
STARTERS,Fried Green Beans,,7.99,,True,496
